business_name,registration_id,status,filing_date,agent_name,agent_address,agent_email
Sky Works LLC,SD0000723,Active,2003-12-05,Alex Anderson,8120 Broadway Ave,alex.anderson.5c6995c7-33ac-4e30-84de-cff4b7eb066a@example.com
Golden Services LLC,SD0000744,Active,2021-07-05,Jen Taylor,6752 Elm Ave,jen.taylor.d08f0f70-83b4-445f-85bc-d40a9fcd9071@example.com
Sunny Builders LLC,SD0000739,Active,1999-03-25,Dave Anderson,7895 Hill Ave,dave.anderson.f888fcea-88dc-4397-9aa5-68d65b5f0f73@example.com
Pine Pharmacy LLC,SD0000764,Active,2009-03-16,Jen Smith,7391 Maple Ave,jen.smith.62197a08-de72-4447-bdc5-46c00c98e9fa@example.com
Blue Trading LLC,SD0000732,Active,2015-01-05,Maria Smith,163 Broadway Ave,maria.smith.50710ab4-d1d1-48a8-af93-3b7f812f95b8@example.com
Bright Pharmacy LLC,SD0000733,Active,2010-10-15,Dave Garcia,4004 Broadway Ave,dave.garcia.c447bf78-3e8c-4d0d-9031-a657ad8a523c@example.com
Bright Trading LLC,SD0000749,Active,1995-05-07,Jen Johnson,9350 Broadway Ave,jen.johnson.76cff017-103a-4670-8ff6-7d2dba3914e6@example.com
Harmony Trading LLC,SD0000776,Active,2014-02-04,Maria Johnson,1277 Hill Ave,maria.johnson.2522777f-185f-45ac-b666-0b0cda0807f8@example.com
Crystal Services LLC,SD0000773,Active,1999-09-04,Gian Davis,1537 Broadway Ave,gian.davis.36beb55d-919f-4d19-a51c-b02dd7b61ad6@example.com
Apex Industries LLC,SD0000757,Active,1998-05-13,John Davis,6370 Hill Ave,john.davis.7c14a740-d7de-4dba-8391-3f8c966d159c@example.com
Golden Holdings LLC,SD0000804,Active,2010-10-01,John Smith,294 Elm Ave,john.smith.457ba2d9-2a7c-4b06-98fb-bd2123811ba2@example.com
Metro Industries LLC,SD0000791,Dissolved,2022-01-09,Jen Johnson,4330 Elm Ave,jen.johnson.4a904b40-257f-45cd-bcc6-1860a40a6ef3@example.com
Apex Trading LLC,SD0000828,Active,2016-08-11,Maria Anderson,6892 Broadway Ave,maria.anderson.2aa19a4f-1ed3-403b-af04-917e7baadef1@example.com
Prime Energy LLC,SD0000856,Active,1999-10-01,Gian Wilson,3530 Hill Ave,gian.wilson.83ce95ee-eab3-4e76-9ead-0e6b119c656c@example.com
Harmony Group LLC,SD0000837,Active,1997-07-20,Maria Miller,693 Broadway Ave,maria.miller.a850b835-efae-429c-b8bb-d9378607ab8b@example.com
Cedar Services LLC,SD0000813,Active,2006-04-26,John Miller,4958 Elm Ave,john.miller.8fd283b8-9e7c-4817-beb5-fdd88c1f8188@example.com
Sky Pharmacy LLC,SD0000799,Active,2006-02-02,Jen Davis,6607 Maple Ave,jen.davis.8cd8a6fd-771a-4fa5-8e2e-4294cd028e71@example.com
Blue Ventures LLC,SD0000869,Active,2004-10-14,Dave Miller,1805 Broadway Ave,dave.miller.943febe3-5608-4edb-8950-f2dc25284435@example.com
Silver Energy LLC,SD0000790,Active,1996-01-05,Alex Garcia,1452 Maple Ave,alex.garcia.d4b3ea33-dd43-4a43-8494-1684631c404d@example.com
Apex Logistics LLC,SD0000801,Active,2023-10-23,John Davis,4405 Hill Ave,john.davis.05f00771-9895-4a65-ad87-3b3284e2b443@example.com
Prime Pharmacy LLC,SD0000803,Active,2005-08-05,Gian Smith,2918 Elm Ave,gian.smith.99e08e5f-0927-4bef-be6b-7d11d8bbb6b0@example.com
Golden Market LLC,SD0000831,Active,2016-02-07,Gian Anderson,9320 Broadway Ave,gian.anderson.6ba11187-dc22-4b36-a743-3e7147567943@example.com
Blue Services LLC,SD0000841,Active,1999-08-06,Gian Davis,4800 Maple Ave,gian.davis.4e4571b5-3fbb-4f46-b693-e7cf32c693f1@example.com
Harmony Farms LLC,SD0000824,Active,1996-11-21,Maria Taylor,7519 Elm Ave,maria.taylor.f22ec9af-ca85-4bf2-a0e5-b1224411c7de@example.com
Blue Labs LLC,SD0000851,Active,2025-06-16,John Miller,9044 Elm Ave,john.miller.32a7b49e-cd6b-4e1b-8cf4-25b5aade028c@example.com
Quantum Foods LLC,SD0000821,Active,2010-03-27,Dave Johnson,7093 Maple Ave,dave.johnson.66bd9cba-056f-4b2a-b7e9-01e73c4fa8de@example.com
Metro Industries LLC,SD0000854,Active,2006-02-03,Alex Davis,5347 Elm Ave,alex.davis.09d4b8e5-415a-4ce3-a46e-20af6f497a19@example.com
Sunny Group LLC,SD0000868,Dissolved,2016-05-05,Sara Smith,8854 Maple Ave,sara.smith.20e087f7-574f-4c0e-a0a1-50e5587989f2@example.com
Nova Industries LLC,SD0000872,Dissolved,2015-01-08,Alex Davis,4356 Hill Ave,alex.davis.ddbc6307-3345-4b9c-ab9d-d8d335411626@example.com
Crystal Farms LLC,SD0000833,Active,1999-09-10,Alex Smith,9864 Elm Ave,alex.smith.c9f33f6c-e04a-4546-96b1-0074e66f71c2@example.com
Sunny Foods LLC,SD0000903,Inactive,2024-08-20,Dave Johnson,635 Elm Ave,dave.johnson.7cd5df65-32e4-4132-93a7-3c39e740e0b0@example.com
Sunny Group LLC,SD0000953,Active,2006-08-15,Alex Wilson,548 Hill Ave,alex.wilson.d5e96da7-d401-437c-8aa0-2c4f4e3d46de@example.com
River Solutions LLC,SD0000900,Active,2008-11-12,Dave Wilson,6958 Maple Ave,dave.wilson.773cb6b6-3ec3-4c52-96bc-a26b1952a424@example.com
Apex Consulting LLC,SD0000897,Dissolved,2014-03-05,Gian Johnson,865 Maple Ave,gian.johnson.57ceeb6e-b08c-46a7-a73b-1a9da01ca7bc@example.com
Green Trading LLC,SD0000967,Active,2003-09-12,Dave Garcia,1222 Elm Ave,dave.garcia.34863e4f-56d6-40f6-aa0c-ae07935714f2@example.com
Cedar Mart LLC,SD0000882,Active,2019-12-08,Ezra Anderson,2159 Elm Ave,ezra.anderson.6af2d5ef-fd1d-417d-a387-fde3c8af5b9a@example.com
Golden Logistics LLC,SD0000883,Active,2017-12-14,John Anderson,3193 Elm Ave,john.anderson.09579feb-2b51-4994-b5db-0f6e41572519@example.com
Ocean Services LLC,SD0000886,Active,2002-08-12,Jen Wilson,2365 Broadway Ave,jen.wilson.9e0061bb-0337-456f-a0cc-1edeffdd1af4@example.com
Sunny Market LLC,SD0000896,Active,2011-10-21,Dave Davis,2764 Broadway Ave,dave.davis.61971fe1-1f60-4224-ab7c-f64ab3573d0b@example.com
Quantum Ventures LLC,SD0000971,Inactive,1996-09-12,Sara Wilson,8837 Hill Ave,sara.wilson.7709666b-7eda-4965-8c2a-5e727774109b@example.com
Golden Builders LLC,SD0000926,Active,2024-12-19,Ezra Smith,7624 Elm Ave,ezra.smith.4fe3aa56-eaa4-4d4a-896e-cde89eaf2b24@example.com
Apex Holdings LLC,SD0000929,Active,1999-12-05,Gian Taylor,4009 Hill Ave,gian.taylor.c97e4c30-fd5b-496c-ba3d-1f08fccd830b@example.com
Silver Labs LLC,SD0000957,Active,1998-09-19,Jen Smith,9540 Hill Ave,jen.smith.7eb81d93-d5c2-4fd2-9ef4-8b3d702dbd17@example.com
Silver Pharmacy LLC,SD0000954,Active,2025-09-28,Alex Davis,4205 Maple Ave,alex.davis.c072894f-c418-4c77-8dbe-37a9eb759a8b@example.com
Summit Consulting LLC,SD0000973,Active,2008-05-15,John Garcia,9434 Elm Ave,john.garcia.3377cb30-38df-4afe-a907-558d6d4967cd@example.com
Harmony Farms LLC,SD0000916,Active,2000-05-20,Maria Wilson,891 Broadway Ave,maria.wilson.4c637b1c-cd19-4658-bfe9-d7d68eaff072@example.com
Quantum Group LLC,SD0000938,Active,2001-04-04,Ezra Anderson,5777 Maple Ave,ezra.anderson.fc3932c8-9c1c-4410-b4f4-5ea8e0b57ff4@example.com
Blue Builders LLC,SD0000969,Inactive,2017-12-24,Alex Garcia,5273 Hill Ave,alex.garcia.3a4fc6eb-ae98-47bd-a801-cc1992235278@example.com
Pine Studio LLC,SD0000884,Active,2009-04-04,Ezra Miller,7047 Broadway Ave,ezra.miller.7d014bfb-50c3-49f0-b0ef-88e19394e8ea@example.com
Metro Industries LLC,SD0000880,Active,2011-04-12,Alex Miller,2654 Elm Ave,alex.miller.0575f147-c6e6-44f4-b2b0-0590269563ac@example.com
Green Trading LLC,SD0001041,Active,2012-01-20,Sara Garcia,1710 Maple Ave,sara.garcia.97554fcd-86af-44a8-8641-0b723582b427@example.com
Apex Holdings LLC,SD0000982,Active,1999-03-23,Alex Miller,6099 Hill Ave,alex.miller.4b9c7936-ad61-4b31-8f7c-00df24c087bd@example.com
Rapid Ventures LLC,SD0001048,Active,2009-05-27,Alex Wilson,9048 Maple Ave,alex.wilson.c1a6e8b5-82ff-4c1e-b563-7e587039da3e@example.com
Apex Works LLC,SD0001002,Active,2018-10-20,Ezra Anderson,938 Broadway Ave,ezra.anderson.82da708c-20ea-4633-994b-2f7d60a4f842@example.com
Cedar Tech LLC,SD0000997,Active,2012-11-10,Sara Anderson,2308 Maple Ave,sara.anderson.4031310b-8819-4b80-b6df-8b58e21062fd@example.com
Ocean Solutions LLC,SD0001016,Active,2009-08-19,Sara Taylor,9168 Broadway Ave,sara.taylor.95f1e124-1c72-48f1-99ba-299e060408a4@example.com
Blue Farms LLC,SD0001042,Active,2021-07-25,John Smith,7815 Hill Ave,john.smith.aed0a0d3-c76a-4fb6-8cac-bc28110ccd32@example.com
Cedar Holdings LLC,SD0000976,Active,2014-01-25,John Wilson,5176 Maple Ave,john.wilson.4723d00d-4efb-4224-b1c7-55d4ff3503b6@example.com
River Solutions LLC,SD0000980,Dissolved,1995-01-13,Gian Wilson,5088 Broadway Ave,gian.wilson.4020595f-86ed-46cd-890d-fd6b86d60593@example.com
Sunny Services LLC,SD0001053,Active,1999-08-04,Dave Anderson,7823 Maple Ave,dave.anderson.7d10c800-5f13-40ba-9051-b6b776ccdcc3@example.com
Blue Builders LLC,SD0000990,Inactive,2002-03-13,Dave Wilson,3086 Hill Ave,dave.wilson.e5e6da20-643e-494d-95fe-7dd171171e78@example.com
Harmony Trading LLC,SD0001005,Active,2019-04-12,Gian Taylor,7558 Broadway Ave,gian.taylor.f39fb112-aa56-47bf-8e02-29287c6b3810@example.com
Prime Consulting LLC,SD0000979,Dissolved,2018-10-12,Alex Johnson,8315 Elm Ave,alex.johnson.ffd5c57c-729a-416c-9168-fbb52e652b50@example.com
Sky Tech LLC,SD0001023,Active,2004-01-26,Alex Taylor,2988 Maple Ave,alex.taylor.ad5b7095-0dfc-4566-87a9-2c2b83b32162@example.com
Metro Market LLC,SD0001019,Active,1997-10-03,Alex Garcia,2979 Broadway Ave,alex.garcia.e9d26fd9-19f9-42be-a0f1-240f78bc99a7@example.com
Quantum Studio LLC,SD0001006,Active,2000-01-21,Ezra Smith,7491 Elm Ave,ezra.smith.0c1b66d3-bdf0-4e82-af25-91b50bc83c14@example.com
Rapid Services LLC,SD0000988,Active,2017-07-10,Jen Garcia,4943 Elm Ave,jen.garcia.57e9359a-3031-4797-8f58-7242f8e0f2ea@example.com
Harmony Works LLC,SD0000995,Inactive,2006-09-08,John Garcia,3717 Maple Ave,john.garcia.4d5fd347-fc37-4946-96c7-1b243476116a@example.com
Prime Pharmacy LLC,SD0001010,Active,2013-05-17,Ezra Johnson,3264 Broadway Ave,ezra.johnson.58337251-33ee-4bf9-8373-0a58c91ab596@example.com
Cedar Mart LLC,SD0001025,Active,2000-10-17,Alex Garcia,5537 Hill Ave,alex.garcia.1682bcf9-e892-470d-8208-f8cf658c4c93@example.com
Harmony Ventures LLC,SD0001076,Active,2023-02-13,Dave Taylor,9882 Elm Ave,dave.taylor.8fcd52cb-ca4b-49b5-90f4-d93f9f99aab1@example.com
Rapid Group LLC,SD0001114,Active,2006-12-14,John Anderson,7770 Broadway Ave,john.anderson.e22af251-6e26-44fa-8c85-ff182cbe5e75@example.com
River Holdings LLC,SD0001096,Active,2018-04-15,Dave Johnson,2521 Maple Ave,dave.johnson.0a3ef7f0-e1a4-405f-a4c4-c0d8310eb53f@example.com
Silver Industries LLC,SD0001117,Active,1999-05-05,Sara Smith,1857 Elm Ave,sara.smith.45ccbb36-37a6-4cbc-8b96-cad823750a4d@example.com
Golden Logistics LLC,SD0001061,Active,2018-06-28,Gian Johnson,2008 Broadway Ave,gian.johnson.c461b4a1-2f07-444d-80e3-371df8154e38@example.com
Harmony Works LLC,SD0001118,Active,2020-03-11,Alex Taylor,7846 Hill Ave,alex.taylor.cae2614f-1fcc-4572-b0c9-224f3c0fd3c0@example.com
River Builders LLC,SD0001105,Active,2004-04-25,John Davis,395 Broadway Ave,john.davis.d6857805-8274-45e8-bf20-fcaa5b70eaaf@example.com
Rapid Consulting LLC,SD0001062,Active,2017-02-01,Sara Johnson,6348 Elm Ave,sara.johnson.89fd706b-aa1f-42de-acfc-4ca416f80d11@example.com
Nova Works LLC,SD0001092,Active,2001-03-28,Ezra Wilson,7511 Hill Ave,ezra.wilson.3d65e6b9-97c9-4986-b7e2-a5edeefcf7a3@example.com
Pine Energy LLC,SD0001108,Active,2010-07-25,Dave Smith,6235 Broadway Ave,dave.smith.d14871fb-edc4-444c-af9d-e67aeb35e99b@example.com
River Pharmacy LLC,SD0001124,Active,2005-09-17,Jen Miller,9749 Maple Ave,jen.miller.8f519789-1c20-430b-835c-6f5af0838bef@example.com
Blue Studio LLC,SD0001080,Active,2019-03-15,Dave Wilson,1775 Elm Ave,dave.wilson.57d5e2f3-63a8-4613-9b97-d9f9397b0bbf@example.com
Silver Works LLC,SD0001103,Active,2013-01-09,Dave Johnson,5342 Elm Ave,dave.johnson.792596f8-1718-4969-888e-8d35accd5713@example.com
Green Consulting LLC,SD0001088,Active,2013-08-01,Maria Anderson,3496 Maple Ave,maria.anderson.ec98ea7d-5608-4a42-8fa9-d4b530d6c047@example.com
Harmony Energy LLC,SD0001067,Active,2018-06-15,Dave Miller,8023 Elm Ave,dave.miller.ebe71d26-ef8b-4e3e-83c1-f6e24681d230@example.com
Pine Works LLC,SD0001060,Active,1999-02-08,John Garcia,9380 Maple Ave,john.garcia.e2bacb93-6a8a-410b-add5-df17efb9f4e0@example.com
Blue Mart LLC,SD0001106,Active,2021-11-03,John Anderson,5867 Hill Ave,john.anderson.622067ca-1841-4757-8807-2ad8b36745e4@example.com
Pine Market LLC,SD0001083,Inactive,1996-12-23,John Garcia,2493 Broadway Ave,john.garcia.8dabd733-d52f-4835-b5ac-9d7680a19b01@example.com
Green Industries LLC,SD0001086,Active,2021-12-08,Alex Davis,2510 Maple Ave,alex.davis.de845e47-4118-4a4d-82e2-eee42568a20f@example.com
River Group LLC,SD0001130,Active,2007-06-04,Gian Smith,682 Broadway Ave,gian.smith.3c82a306-4793-447b-9dbc-2c231de4673f@example.com
Apex Ventures LLC,SD0001180,Active,2024-12-24,Jen Anderson,2661 Hill Ave,jen.anderson.d06a5ad2-32c1-4655-8b52-5b68edcc2291@example.com
Sunny Services LLC,SD0001196,Active,2003-11-20,Ezra Davis,4154 Maple Ave,ezra.davis.62516f53-2de9-4455-bca1-9f9c80b85fa5@example.com
Apex Builders LLC,SD0001151,Active,1996-06-15,Jen Wilson,8407 Hill Ave,jen.wilson.28c97288-737b-48a3-b5a1-f3a01b9b8dab@example.com
Rapid Foods LLC,SD0001164,Active,1996-03-10,Sara Garcia,5085 Elm Ave,sara.garcia.94a1c312-d30a-46b6-b18e-f507af0c48fc@example.com
Sunny Holdings LLC,SD0001182,Active,2005-02-17,Dave Miller,1374 Elm Ave,dave.miller.f53aa160-8f41-4400-8c58-7d603ee6f9ad@example.com
Golden Builders LLC,SD0001187,Active,2012-02-19,Gian Johnson,542 Elm Ave,gian.johnson.e701f1e4-ccbc-4883-a2af-b6e3a429e7db@example.com
Ocean Builders LLC,SD0001160,Active,2011-06-14,Jen Johnson,3983 Maple Ave,jen.johnson.d30e7114-6b4e-40ef-bcb6-7aed54b07e1f@example.com
Cedar Studio LLC,SD0001192,Active,2003-12-02,Sara Johnson,7824 Broadway Ave,sara.johnson.6972cf03-5910-4823-9926-c16aaa20a133@example.com
Nova Foods LLC,SD0001186,Active,1995-10-12,Ezra Smith,5173 Hill Ave,ezra.smith.5876e1af-61ca-406f-9a1e-ba5e06630d11@example.com
Harmony Holdings LLC,SD0001197,Pending,2002-03-23,Sara Johnson,6477 Maple Ave,sara.johnson.d20931ca-17d3-4705-8bfc-2c49b936c5b0@example.com
Prime Logistics LLC,SD0001141,Active,2011-05-15,Ezra Miller,3057 Maple Ave,ezra.miller.a9c1a243-b69e-41a1-922a-1dc554e2e2cd@example.com
Harmony Holdings LLC,SD0001172,Inactive,2000-05-14,Maria Smith,2309 Maple Ave,maria.smith.1ccedeaf-5a2e-4abf-bd78-64d2de83b7c7@example.com
Summit Works LLC,SD0001166,Inactive,2004-03-03,Maria Johnson,8143 Maple Ave,maria.johnson.0f49fd29-82b2-4c06-9291-a4a9e3fe892b@example.com
Silver Foods LLC,SD0001165,Pending,2014-01-27,Dave Johnson,4389 Elm Ave,dave.johnson.912bae82-ead5-4274-803d-3a0a781aa38d@example.com
Summit Ventures LLC,SD0001161,Active,2024-01-14,Ezra Taylor,511 Elm Ave,ezra.taylor.51555143-81fe-4fa0-b82f-e67cb29c2bb8@example.com
River Consulting LLC,SD0001149,Active,2019-11-25,Jen Anderson,4015 Maple Ave,jen.anderson.9629f4fb-233b-4065-a551-d44237496111@example.com
Green Ventures LLC,SD0001152,Active,2001-05-17,Maria Miller,991 Broadway Ave,maria.miller.83c3ac19-f5ee-4b31-b7fe-cfe20c0ef12e@example.com
Rapid Works LLC,SD0001190,Active,1998-05-25,Maria Davis,9549 Broadway Ave,maria.davis.abe58e7d-7f96-420f-95cc-a097c649c2bd@example.com
Pine Tech LLC,SD0001174,Active,2021-09-07,Jen Anderson,8672 Maple Ave,jen.anderson.a496e686-a1e7-420e-a6d6-c1c097f01746@example.com
Rapid Consulting LLC,SD0001155,Active,2003-07-08,Sara Garcia,3196 Hill Ave,sara.garcia.5bb02c01-7a5d-4474-9901-6b8688af984c@example.com
Sky Group LLC,SD0001224,Active,2010-01-17,Sara Smith,55 Elm Ave,sara.smith.9a6b87e3-1880-496f-9c67-bcdd557fb8b9@example.com
Cedar Group LLC,SD0001240,Pending,2024-07-01,Gian Garcia,959 Broadway Ave,gian.garcia.6cd32b0c-360c-4a21-aca1-680451453dd8@example.com
Ocean Builders LLC,SD0001203,Inactive,2015-08-13,John Miller,6085 Elm Ave,john.miller.ad0419ac-7bf0-4efa-adea-4bc67d713f92@example.com
Blue Tech LLC,SD0001221,Inactive,2018-01-03,John Davis,7887 Broadway Ave,john.davis.9d95a0f1-2eb6-4ea9-93e2-89ff03b61ba1@example.com
Cedar Group LLC,SD0001241,Inactive,2022-09-21,Alex Davis,6514 Hill Ave,alex.davis.13732eb0-1ac3-47a3-8927-fe53d241afe1@example.com
Crystal Group LLC,SD0001253,Pending,2010-03-13,Sara Taylor,2859 Maple Ave,sara.taylor.c0e77cb5-6cdc-4e2d-b3bb-5051b125ea21@example.com
Green Industries LLC,SD0001227,Active,1996-07-07,Gian Smith,8625 Maple Ave,gian.smith.7345c248-fc6b-4468-995d-db5963de4574@example.com
Blue Trading LLC,SD0001212,Active,2001-03-27,Maria Davis,3435 Maple Ave,maria.davis.935f1493-211f-424a-8d86-18cce69af2dd@example.com
Nova Solutions LLC,SD0001198,Active,2015-04-23,John Wilson,3390 Hill Ave,john.wilson.63731965-4e61-4def-b9a0-8aaa06e6f1da@example.com
Blue Foods LLC,SD0001260,Active,1996-10-21,John Wilson,900 Hill Ave,john.wilson.c811eaf8-47ca-4ee5-8ee8-b283f2e9ba2e@example.com
Pine Studio LLC,SD0001239,Active,2021-10-17,Gian Taylor,8158 Elm Ave,gian.taylor.f7bc43ac-f8b8-4a2d-aad7-132570708c10@example.com
,,Active,2020-04-24,Jen Davis,391 Broadway Ave,jen.davis.0696c82c-0a1f-46fe-86be-72144b8c9cb5@example.com
Metro Tech LLC,SD0001263,Active,2010-12-21,Maria Johnson,4327 Broadway Ave,maria.johnson.5ec056fd-0543-41c8-9505-506f8605a7a2@example.com
Apex Group LLC,SD0001210,Active,2003-10-18,Jen Garcia,114 Hill Ave,jen.garcia.5fa344ea-8e26-44b0-8156-2bb0948b4226@example.com
Summit Labs LLC,SD0001220,Active,2015-09-03,Jen Wilson,500 Broadway Ave,jen.wilson.f4dfb9a9-207d-494d-8284-bf173473a493@example.com
River Works LLC,SD0001205,Active,1995-06-25,Sara Taylor,3178 Maple Ave,sara.taylor.4f0907f8-981e-4e72-86e1-489b9b7d4355@example.com
Apex Pharmacy LLC,SD0001207,Inactive,2006-08-25,Dave Davis,7068 Broadway Ave,dave.davis.4924046f-e774-4181-91dd-2a1ec7a78f27@example.com
,,,2007-10-13,Alex Smith,9214 Hill Ave,alex.smith.f46f4dce-b5c3-4ced-b415-7139ac9c41a4@example.com
Rapid Builders LLC,SD0001199,Inactive,2005-07-13,Maria Davis,6386 Elm Ave,maria.davis.278a36bf-0d7d-4c22-b424-6aa68f833986@example.com
Rapid Logistics LLC,SD0001228,Active,1996-02-28,Sara Miller,4247 Maple Ave,sara.miller.fea0cda9-8863-4916-a776-212bf0c4ee6c@example.com
Blue Farms LLC,SD0001266,Active,2008-04-27,Dave Wilson,6170 Broadway Ave,dave.wilson.2bc9041a-1ee7-45f5-ab3f-6722e2705b1c@example.com
Summit Works LLC,SD0001277,Active,2004-06-15,John Wilson,2943 Maple Ave,john.wilson.b90c0be3-0140-432b-9dd9-3552c0c4a40e@example.com
Quantum Mart LLC,SD0001268,Pending,1998-07-09,Dave Davis,4108 Broadway Ave,dave.davis.24acf207-2b39-43d7-9170-5141bc167238@example.com
Crystal Pharmacy LLC,SD0001305,Active,2002-09-18,Gian Wilson,4016 Maple Ave,gian.wilson.1bd5b950-58e0-466c-88cf-2d196e02fb05@example.com
Crystal Builders LLC,SD0001298,Active,2022-09-24,Alex Johnson,8625 Maple Ave,alex.johnson.5d07bfe7-6b7b-470a-818a-e1dfd9453952@example.com
Quantum Ventures LLC,SD0001269,Dissolved,2023-08-24,Maria Johnson,239 Maple Ave,maria.johnson.354610ef-6898-4123-bb57-efdd81b35c72@example.com
Prime Trading LLC,SD0001318,Active,2020-09-22,Gian Smith,9454 Elm Ave,gian.smith.c804f825-b679-4158-bed7-2cd78ad65231@example.com
Sunny Foods LLC,SD0001288,Inactive,2001-07-10,Dave Johnson,5363 Elm Ave,dave.johnson.03696b80-2828-402e-9f7b-98fb3f38f688@example.com
Green Pharmacy LLC,SD0001276,Dissolved,2017-12-08,Jen Garcia,4894 Elm Ave,jen.garcia.02210dd1-0526-4ca9-a823-cadf6c3b775d@example.com
Quantum Tech LLC,SD0001300,Active,2008-05-16,Gian Smith,8734 Maple Ave,gian.smith.9972ee6d-a191-44b3-9341-4879a84f3b2f@example.com
Quantum Group LLC,SD0001291,Active,2011-08-18,Dave Smith,4461 Elm Ave,dave.smith.e88cf2aa-0031-45db-b6d9-badd480a2ee7@example.com
Quantum Energy LLC,SD0001274,Active,2012-08-04,John Garcia,1201 Maple Ave,john.garcia.ad3c9fd0-c005-4a3f-bf1f-ff10dad6d295@example.com
Sky Market LLC,SD0001287,Dissolved,1998-08-20,Alex Wilson,9545 Maple Ave,alex.wilson.563ec0bf-9c55-4d12-aff9-fd1ddb06fc27@example.com
Prime Foods LLC,SD0001310,Active,2012-08-20,Gian Davis,6108 Elm Ave,gian.davis.0051d59a-4bd0-4278-a902-f91b9e011d08@example.com
Green Studio LLC,SD0001322,Active,2000-08-08,Maria Smith,7269 Broadway Ave,maria.smith.d9509d86-aa54-4056-94ed-0ebabfb49d22@example.com
Crystal Studio LLC,SD0001323,Active,1999-03-28,Gian Wilson,4287 Maple Ave,gian.wilson.ed7cc7f2-a17d-4b9b-92d4-d5390d5aad16@example.com
River Farms LLC,SD0001301,Active,2000-03-12,Jen Wilson,9218 Elm Ave,jen.wilson.1d441484-253b-4d09-91f5-9c2d0d76891f@example.com
Silver Labs LLC,SD0001312,Active,2022-03-07,Maria Wilson,403 Broadway Ave,maria.wilson.0db74355-431f-40d8-a91d-93e210e17f62@example.com
Prime Industries LLC,SD0001299,Active,2001-02-05,Sara Miller,1527 Broadway Ave,sara.miller.74c9eb9e-dc78-475f-92aa-aafb50244a8d@example.com
Blue Energy LLC,SD0001273,Active,1999-02-22,Gian Wilson,2618 Broadway Ave,gian.wilson.116b96bd-a2cb-4f5c-893c-346cf9ba7da3@example.com
Quantum Ventures LLC,SD0001360,Active,2014-11-21,Jen Garcia,779 Elm Ave,jen.garcia.78aac271-c194-4db9-9d22-2f82e7f5544f@example.com
Silver Builders LLC,SD0001328,Inactive,1998-06-23,Alex Smith,6704 Hill Ave,alex.smith.01763738-5e28-4a1f-90d0-73b188ad245a@example.com
Sky Tech LLC,SD0001341,Pending,2024-07-09,Maria Johnson,7403 Elm Ave,maria.johnson.69a10693-27e3-4390-a60d-84c9ead579ae@example.com
Green Trading LLC,SD0001383,Active,2000-01-01,Dave Anderson,6226 Broadway Ave,dave.anderson.ec3c405d-bd2e-4423-b8f6-8b1f4ca1733d@example.com
Green Solutions LLC,SD0001345,Active,2002-12-04,John Wilson,7008 Broadway Ave,john.wilson.d82d3e2e-aa4f-4f8e-86f9-ff79568afcd8@example.com
Sunny Trading LLC,SD0001340,Active,2016-12-25,John Taylor,377 Elm Ave,john.taylor.85fe7bfd-8783-456b-856b-01ca0b31a9f7@example.com
Bright Services LLC,SD0001327,Active,2003-02-16,Sara Johnson,6010 Hill Ave,sara.johnson.d1889171-2ed5-45e8-885b-4f6225575574@example.com
Harmony Mart LLC,SD0001357,Active,2013-05-11,Maria Garcia,969 Hill Ave,maria.garcia.01f9add5-1255-4f37-b367-cff659f77715@example.com
Pine Pharmacy LLC,SD0001410,Active,2009-05-23,Dave Wilson,5784 Broadway Ave,dave.wilson.675b469e-19a8-4700-9ea0-3bfd234bf71d@example.com
Harmony Energy LLC,SD0001402,Active,2022-08-26,Maria Anderson,1334 Broadway Ave,maria.anderson.f8851e2c-602d-40e3-afba-659c491ab039@example.com
Bright Studio LLC,SD0001391,Active,2016-11-21,Sara Wilson,9698 Hill Ave,sara.wilson.5c3cf03c-fbb5-4191-87d2-a6cbb07abcb9@example.com
Sunny Holdings LLC,SD0001362,Inactive,2024-05-11,Dave Wilson,8816 Broadway Ave,dave.wilson.7c79c920-9e76-4aa4-91ed-9fab3639d072@example.com
Bright Energy LLC,SD0001378,Active,2014-04-15,Alex Johnson,2419 Hill Ave,alex.johnson.86a76e1f-81bf-4b19-a211-b6e2c294a8f7@example.com
Sunny Builders LLC,SD0001397,Inactive,2006-11-10,Gian Anderson,8296 Maple Ave,gian.anderson.e66f0ba1-99b3-4155-946c-eb0afcfc5640@example.com
Prime Mart LLC,SD0001347,Inactive,2024-07-23,Alex Miller,7043 Broadway Ave,alex.miller.825882e4-7116-4b11-bfe4-c9824871b225@example.com
River Mart LLC,SD0001412,Active,2014-02-08,Dave Anderson,1562 Broadway Ave,dave.anderson.c54a882c-a548-4113-be94-52b3695b0c5d@example.com
Pine Solutions LLC,SD0001414,Active,1995-02-22,Gian Wilson,985 Broadway Ave,gian.wilson.b8f05fad-ce8e-41ad-a2bf-53be00d51151@example.com
Sunny Tech LLC,SD0001400,Active,2011-11-27,Dave Davis,1486 Maple Ave,dave.davis.35672e65-6684-427e-beef-5834c5f8e389@example.com
Silver Services LLC,SD0001329,Active,2002-06-03,Jen Taylor,4929 Maple Ave,jen.taylor.576b795d-91f2-4a26-8772-73df13b37d57@example.com
Quantum Holdings LLC,SD0001330,Active,1995-01-19,Gian Taylor,6988 Hill Ave,gian.taylor.6b9fd3ad-327c-4de0-8c5c-cb1dc9658c60@example.com
